Author,Genre,Pages,Score,Title,Year
Jo Walton,"Fantasy,Fantasy,Dragons,Fiction,Romance,Science Fiction Fantasy",304,3.86,Tooth and Claw,2004
Karen Hawkins,"Romance,Historical Romance,Romance,Historical,Historical,Historical Fiction,Cultural,Scotland,Historical,Regency,Adult,Fiction,Historical Romance,Regency Romance,Fantasy",357,3.82,"To Scotland, With Love",2007
Philip Pullman,"Fiction,Religion,Historical,Historical Fiction,Fantasy,Fantasy,Mythology",265,3.38,The Good Man Jesus and the Scoundrel Christ,2010
Kristen Heitzmann,"Christian Fiction,Christian,Romance,Fiction,Contemporary,Romance,Christian Romance",380,4.17,A Rush of Wings,2003
Elif Batuman,"Nonfiction,Autobiography,Memoir,Cultural,Russia,Writing,Essays,Writing,Books About Books,Travel",296,3.67,The Possessed: Adventures With Russian Books and the People Who Read Them,2010
Jason Fried,"Business,Nonfiction,Business,Entrepreneurship,Business,Management,Productivity,Self Help,Leadership,Buisness,Self Help,Personal Development,Science,Technology",279,3.95,Rework,2010
Jennifer L. Leo,"Travel,Nonfiction,Humor,Writing,Essays,Autobiography,Memoir,Short Stories,Adventure",232,3.31,Sand in My Bra and Other Misadventures: Funny Women Write from the Road,2003
Joseph Lidster,"Media Tie In,Doctor Who,Science Fiction,Audiobook",0,2.95,Doctor Who: The Rapture,2002
Lynsay Sands,"Romance,Paranormal Romance,Fantasy,Paranormal,Paranormal,Vampires,Romance,Fantasy",361,4.17,The Rogue Hunter,2008
Dean Koontz,"Horror,Fiction,Thriller,Mystery,Suspense,Thriller,Mystery Thriller,Fantasy,Paranormal,Fantasy,Mystery,Crime,Fantasy,Supernatural",649,3.71,The Face,2004
Edward Bloor,"Young Adult,Science Fiction,Fiction,Mystery,Science Fiction,Dystopia",272,3.39,Taken,2007
John Ralston Saul,"History,Cultural,Canada,Nonfiction,Politics",352,3.88,A Fair Country: Telling Truths About Canada,2008
Anne Lamott,"Nonfiction,Spirituality,Religion,Religion,Faith,Christian",102,3.98,Help Thanks Wow: The Three Essential Prayers,2012
Roderick Townley,"Fantasy,Fiction,Young Adult,Childrens,Childrens,Middle Grade",224,3.9,The Great Good Thing,2003
Joan Didion,"Autobiography,Memoir,Nonfiction,Biography,Biography Memoir",208,3.82,Blue Nights,2011
Nancy Clark,Fiction,496,3.42,The Hills at Home: A Novel,2004
Kelly Rimmer,"Fiction,Contemporary,Family,Womens Fiction,Chick Lit",321,4.03,The Secret Daughter,2015
Patrick F. McManus,"Humor,Nonfiction,Short Stories,Audiobook,Nature,Outdoors",227,3.87,Kerplunk!: Stories,2007
Rachel Kadish,"Historical,Historical Fiction,Fiction,Historical,Literature,Jewish",560,4.14,The Weight of Ink,2017
Jacqueline Carey,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,High Fantasy",404,3.7,Godslayer,2006
Silvia Federici,"Feminism,Nonfiction,Politics,Gender,Philosophy,Theory",208,4.38,"Revolution at Point Zero: Housework, Reproduction, and Feminist Struggle",2012
