Author,Genre,Pages,Score,Title,Year
Lynsay Sands,"Romance,Paranormal Romance,Paranormal,Vampires,Fantasy,Paranormal,Romance,Fantasy",360,4.22,The Immortal Hunter,2009
Roberta Davidson,"Autobiography,Memoir,Female Authors",163,3.8,Macbeth For Murderers,2005
Angela Duckworth,"Nonfiction,Psychology,Self Help",277,4.08,Grit,2016
Celeste Ng,"Fiction,Contemporary,Audiobook,Adult,Adult Fiction,Literary Fiction,Book Club,Novels,Family,Realistic Fiction",368,4.11,Little Fires Everywhere,2017
Andrés Neuman,"Fiction,European Literature,Spanish Literature",368,4.03,Fracture: A Novel,2018
Lucian Bane,,104,4.27,Dom Wars: Round Three,2014
Elinor Florence,"Historical,Historical Fiction,Fiction,Cultural,Canada",331,4.24,Wildwood,2018
Jón Kalman Stefánsson,"Fiction,Historical,Historical Fiction,European Literature,Scandinavian Literature",253,4.16,Entre ciel et terre,2011
Robert Macfarlane,"Nonfiction,Travel,Environment,Nature,History,Travel,Walking,Autobiography,Memoir",432,4.16,The Old Ways: A Journey on Foot,2012
Vivek Shraya,"Poetry,GLBT,Queer,Nonfiction,Cultural,Canada,LGBT,Race",116,4.17,Even this Page is White,2016
Bill Watterson,"Sequential Art,Graphic Novels,Fantasy",143,4.69,"The Complete Calvin & Hobbes, Volume 4",2013
Corban Addison,"Fiction,Cultural,India,Historical,Historical Fiction,Contemporary,Thriller",371,4.14,A Walk Across the Sun,2012
Robin Hobb,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,Dragons,Fantasy,High Fantasy",847,4.64,Assassin's Fate,2017
E.J. Dionne Jr.,"Politics,History,Nonfiction,Literature,American",534,4.06,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,2016
Viola Shipman,"Fiction,Womens Fiction,Chick Lit,Audiobook",298,3.76,The Charm Bracelet,2016
Barbara Brown Taylor,"Nonfiction,Religion,Spirituality,Religion,Faith,Religion,Theology,Christian,Autobiography,Memoir",216,4.32,An Altar in the World: A Geography of Faith,2009
David George Haskell,"Nonfiction,Environment,Nature,Science,Science,Natural History,Science,Biology,Environment,Biology,Ecology",288,4.21,The Forest Unseen: A Year’s Watch in Nature,2012
Anna Kendrick,"Nonfiction,Autobiography,Memoir,Audiobook,Biography,Humor",6,3.89,Scrappy Little Nobody,2016
Charlaine Harris,"Mystery,Fiction,Mystery,Cozy Mystery",248,3.83,Last Scene Alive,2002
Johnnie Godwin,"Reference,Spirituality,Nonfiction,Christian,Christian Non Fiction",256,4.11,The Student Bible Dictionary,2001
Susan Branch,"Travel,Nonfiction,Autobiography,Memoir,European Literature,British Literature,Biography",260,4.52,A Fine Romance:  Falling in Love with the English Countryside,2013
A.S. Byatt,"Short Stories,Fiction,Fantasy,Horror,Gothic,European Literature,British Literature",256,3.8,Little Black Book of Stories,2005
Caroline Alexander,"History,Nonfiction,Fantasy,Mythology,Classics,History,Ancient History,War",296,3.91,The War That Killed Achilles: The True Story Of Homer's Iliad And The Trojan War,2009
Cecelia Ahern,"Womens Fiction,Chick Lit,Fiction,Fantasy,Romance,Young Adult",320,3.67,The Book of Tomorrow,2009
رضوى عاشور,Novels,463,4.32,الطنطورية,2010
Ian  Hamilton,"Mystery,Thriller,Fiction,Mystery,Crime,Cultural,Canada,Cultural,Asia,Thriller,Mystery Thriller",336,3.91,The Red Pole of Macau,2012
Julián Fuks,"Fiction,Cultural,Brazil",144,3.86,A Resistência,2015
Dougie Brimson,"Football,Soccer,Nonfiction",219,3.18,Everywhere We Go,2011
Cornelia Funke,"Fantasy,Childrens,Holiday,Christmas,European Literature,German Literature",180,4.28,Hinter verzauberten Fenstern,2003
Thomas  Harris,"Horror,Fiction,Thriller,Mystery,Mystery,Crime",336,3.5,Hannibal Rising,2006
Maggie Stiefvater,"Fantasy,Young Adult,Fantasy,Paranormal",391,4.3,"Blue Lily, Lily Blue",2014
Paula McLain,"Historical,Historical Fiction,Fiction,Cultural,Africa,Historical",366,3.93,Circling the Sun,2015
Fredric Jameson,"Philosophy,Nonfiction,Philosophy,Theory,Science Fiction,Utopia",431,4.05,Archaeologies of the Future: The Desire Called Utopia and Other Science Fictions,2007
Stephen R. Lawhead,"Fantasy,Historical,Historical Fiction,Fiction,Historical,Adventure,Christian Fiction,Christian,Science Fiction Fantasy,Historical,Medieval,Adult",352,4.1,Tuck,2009
Jan Wallentin,"Thriller,Fiction,Mystery,Historical,Historical Fiction,Fantasy,Mystery,Crime,European Literature,Swedish Literature,Novels,Adventure,Historical",447,2.66,Strindberg's Star,2012
Joe Abercrombie,"Fantasy,Young Adult,Fiction,Fantasy,Epic Fantasy",513,4.02,Half a War,2015
Steven Erikson,"Fantasy,Fantasy,Epic Fantasy,Fiction,Fantasy,High Fantasy,Epic,Fantasy,Dark Fantasy,Science Fiction Fantasy,War,War,Military Fiction,Adventure",1280,4.31,Dust of Dreams,2009
Laini Taylor,"Fantasy,Young Adult,Romance,Paranormal,Angels,Fantasy,Paranormal,Fantasy,Urban Fantasy,Fiction,Fantasy,Magic,Young Adult,Young Adult Fantasy,Audiobook",613,4.19,Dreams of Gods and Monsters,2014
Valeria Luiselli,"Fiction,Novels,Literary Fiction",192,3.5,The Story of My Teeth,2015
Carolyn Meyer,"Historical,Historical Fiction,Young Adult,Historical,Romance,Fiction",265,3.48,Loving Will Shakespeare,2006
Helen Sheehy,"Nonfiction,History,Biography",400,4.1,Eleanora Duse,2009
Jeff Lemire,"Sequential Art,Graphic Novels,Sequential Art,Comics,Fiction,Cultural,Canada,Graphic Novels Comics",512,4.31,Essex County,2009
J.K. Rowling,"Fantasy,Short Stories,Fiction,Young Adult",68,4.23,"Short Stories from Hogwarts of Heroism, Hardship and Dangerous Hobbies",2016
Lily King,"Fiction,Literary Fiction,Contemporary,Adult Fiction,Realistic Fiction,Novels,Relationships,Family,Book Club,Literature",368,3.89,Father of the Rain,2011
Philip Reeve,"Young Adult,Science Fiction,Science Fiction,Steampunk,Fantasy,Fiction",533,4.21,A Darkling Plain,2007
James Bamford,"Nonfiction,History,Politics,Spy Thriller,Espionage,Science,Technology,North American Hi...,American History,War,Military Fiction,Audiobook,Politics,Government,Writing,Journalism",410,3.85,The Shadow Factory: The Ultra-Secret NSA from 9/11 to the Eavesdropping on America,2008
Don DeLillo,"Fiction,Science Fiction,Novels,Literary Fiction",274,3.2,Zero K,2016
Ian Rankin,"Mystery,Mystery,Crime,Fiction,Cultural,Scotland",391,3.97,The Impossible Dead,2011
Stephen Adly Guirgis,"Plays,Drama,Plays,Theatre,Religion",128,4.24,The Last Days of Judas Iscariot,2005
Alexandra Fuller,"Nonfiction,Biography,Biography Memoir",224,3.93,The Legend of Colton H. Bryant,2008
Nick Cole,"Apocalyptic,Post Apocalyptic,Science Fiction,Science Fiction,Dystopia,Fantasy",303,4.09,The Savage Boy,2013
Boris Akunin,"Cultural,Russia,Fiction,Mystery,Mystery,Detective,Literature,Russian Literature,Politics",656,3.74,Квест,2008
Nick Lane,"Science,Nonfiction,Science,Biology,Biology,Evolution,Science,Popular Science,History",352,4.1,Life Ascending: The Ten Great Inventions of Evolution,2009
Aaron Becker,"Childrens,Picture Books,Fantasy,Childrens,Adventure",40,4.41,Journey,2013
Jake Tapper,"Nonfiction,History,War,Military Fiction,War,Military,Military History",673,4.35,The Outpost: An Untold Story of American Valor,2012
Steve    Jackson,"Crime,True Crime,Nonfiction,Science,Mystery,Crime,History",374,4.19,No Stone Unturned: The True Story of the World's Premier Forensic Investigators,2016
Chögyam Trungpa,"Religion,Buddhism,Spirituality,Nonfiction,Religion",680,4.69,The Path of Individual Liberation,2013
Jill Mansell,"Womens Fiction,Chick Lit,Romance,Fiction,Romance,Contemporary Romance",500,3.87,Staying at Daisy's,2002
Tarquin Hall,"Mystery,Cultural,India,Fiction,Mystery,Crime,Humor",309,3.76,The Case of the Man Who Died Laughing,2010
Scott McElhaney,"Fiction,Christian Fiction,Mystery,Suspense",141,4.39,Daylight in Blossom,2011
Peter Watts,"Science Fiction,Fiction,Horror",384,3.88,Echopraxia,2014
Dougie Brimson,"Sports,Sports",249,4.18,Wings of a Sparrow,2012
Kim Thúy,"Fiction,Cultural,Canada,Cultural,Asia,Food and Drink,Food",156,3.8,Mãn,2014
Katherine Reay,"Fiction,Romance,Contemporary,Womens Fiction,Chick Lit,Christian Fiction,Christian,Adult,Adult Fiction,Young Adult,Romance,Contemporary Romance",317,3.93,Dear Mr. Knightley,2013
Joe Abercrombie,"Fantasy,Young Adult,Fiction,Fantasy,Epic Fantasy",498,4.19,Half the World,2015
Steven Erikson,"Fantasy,Fantasy,Epic Fantasy,Fiction,Fantasy,High Fantasy",1008,4.35,Toll the Hounds,2008
Samantha Shannon,"Fantasy,Young Adult,Science Fiction,Dystopia,Fiction",466,3.76,The Bone Season,2013
Carolyn Meyer,"Historical,Historical Fiction,Young Adult,Historical,Fiction,English History,Tudor Period",208,3.78,"Patience, Princess Catherine",2009
Harriet A. Washington,"Nonfiction,History,Science,Race,Health,Medicine,Social Movements,Social Justice,Medical",501,4.29,Medical Apartheid: The Dark History of Medical Experimentation on Black Americans from Colonial Times to the Present,2007
Marc Platt,"Media Tie In,Doctor Who,Science Fiction,Audiobook",2,4.27,Doctor Who: Spare Parts,2002
Philip Kerr,"Mystery,Historical,Historical Fiction,Fiction,Mystery,Crime,Thriller,Cultural,Germany",416,4.16,A Quiet Flame,2010
Nicholas A.M. Rodger,"History,Nonfiction,War,Military Fiction,Military History,Naval History,War",976,4.31,"The Command of the Ocean: A Naval History of Britain, 1649­-1815",2006
Ian Rankin,"Mystery,Mystery,Crime,Fiction,Cultural,Scotland",381,3.86,The Complaints,2009
Jeff Pearlman,"Sports,Sports,Nonfiction,Football,History",406,4.05,Boys Will Be Boys: The Glory Days and Party Nights of the Dallas Cowboys Dynasty,2008
Gavin Baddeley,"Nonfiction,Dark Fantasy,Goth,Gothic,Culture,Pop Culture,Music,Cultural",288,3.66,Goth Chic: A Connoisseur's Guide to Dark Culture,2006
Joe McKinney,"Horror,Zombies,Horror,Apocalyptic,Post Apocalyptic,Fiction,Science Fiction,Apocalyptic,Science Fiction,Dystopia,Science Fiction Fantasy,Science Fiction,Novels",352,3.91,Mutated,2012
Peter Fröberg Idling,"Nonfiction,History,Cultural,Asia,European Literature,Swedish Literature",296,3.87,Uśmiech Pol Pota. o pewnej szwedzkiej podróży przez Kambodżę Czerwonych Khmerów,2010
Ramez Naam,"Science Fiction,Fiction,Science Fiction,Cyberpunk",512,4.13,Crux,2013
Bradley Nickell,"Crime,True Crime,Nonfiction,Mystery,Crime",436,4.14,Repeat Offender: Sin City's Most Prolific Criminal and the Cop Who Caught Him,2015
Jean-Martin Fortier,"Gardening,Nonfiction,Science,Agriculture,Business,Food and Drink,Food",240,4.51,The Market Gardener: A Handbook for Successful Small-Scale Organic Farming,2014
Allyse Near,"Fantasy,Young Adult,Fantasy,Fairy Tales,Fantasy,Paranormal",432,4.17,Fairytales for Wilde Girls,2013
Nora Ephron,"Nonfiction,Humor,Writing,Essays,Autobiography,Memoir,Audiobook",137,3.76,I Remember Nothing: and Other Reflections,2010
Jill Mansell,"Womens Fiction,Chick Lit,Romance,Fiction,Romance,Contemporary Romance",512,3.75,Millie's Fling,2001
Jon Meacham,"History,Biography,Nonfiction,Politics,Presidents,Politics,North American Hi...,American History,War,World War II",490,4.11,Franklin and Winston: An Intimate Portrait of an Epic Friendship,2004
Helen Thorpe,"Nonfiction,War,Military Fiction,Biography,War,History",397,3.82,Soldier Girls: The Battles of Three Women at Home and at War,2014
Danielle L. Jensen,"Fantasy,Young Adult,Romance,Fantasy,Magic,Young Adult,Young Adult Fantasy,Fantasy,Paranormal,Fantasy,High Fantasy,Fiction,Paranormal,Witches,Fairies,Fae",480,3.94,Stolen Songbird,2014
Manda Scott,"Historical,Historical Fiction,Historical,Fiction,Fantasy",432,4.36,Dreaming the Hound,2006
Robert Macfarlane,"Nonfiction,Environment,Nature,Travel,Science,Natural History,Autobiography,Memoir",340,4.27,The Wild Places,2008
Gene Wolfe,"Science Fiction,Fiction,Fantasy",412,4.29,Return to the Whorl,2001
Alexandra Fuller,"Autobiography,Memoir,Nonfiction,Cultural,Africa,Biography,Travel,History",288,3.79,Scribbling the Cat: Travels with an African Soldier,2004
Ellen Forney,"Sequential Art,Graphic Novels,Autobiography,Memoir,Nonfiction,Sequential Art,Comics,Health,Mental Health",256,3.97,"Marbles: Mania, Depression, Michelangelo, and Me",2012
Herta Müller,"Fiction,Historical,Historical Fiction,Cultural,Romania,European Literature,German Literature,Nobel Prize,Literature,Novels,Cultural,Germany,Unfinished,Literature,European Literature",208,3.39,The Appointment,2001
Farhat Ishtiaq,,304,4.05,Mata e Jaan Hai Tu / متاعِ جاں ہے تُو,2010
Erin Kelly,"Mystery,Mystery,Crime,Fiction,Thriller,Thriller,Mystery Thriller",433,4.02,Broadchurch,2014
Peter F. Hamilton,"Science Fiction,Fiction,Space,Space Opera,Audiobook,Science Fiction Fantasy,Space,Fantasy,Science Fiction,Aliens,Adventure,Epic",768,4.24,Pandora's Star,2005
Truth Devour,"Romance,Contemporary,Romance,Contemporary Romance,Romance,Paranormal Romance",234,4.05,Wantin,2013
Chetan Bhagat,"Fiction,Romance,Asian Literature,Indian Literature",296,3.09,"Revolution 2020: Love, Corruption, Ambition",2011
C.S. Woolley,,85,5,The Derek Long Saga,2012
Alex Archer,"Fantasy,Adventure,Fiction,Fantasy,Urban Fantasy,Action",320,3.73,Provenance,2008
Sidney Sheldon,Fiction,341,3.99,"Nothing Lasts Forever;[And], Tell Me Your Dreams",2003
José Rodrigues dos Santos,"Romance,European Literature,Portuguese Literature,Historical,Historical Fiction",663,4.18,Um Milionário em Lisboa,2013
Chuck Hogan,"Fiction,Thriller,Mystery,Crime,Thriller,Mystery Thriller",312,3.82,Devils in Exile,2010
Melissa V. Harris-Perry,"Nonfiction,Feminism,Race,Politics,Social Movements,Social Justice,Cultural,African American",378,4.23,"Sister Citizen: Shame, Stereotypes, and Black Women in America",2011
Lindsay McKenna,"Romance,Romance,Contemporary Romance,Romance,Romantic Suspense,War,Military Fiction,Military Fiction,Military Romance",352,4.04,Breaking Point,2014
Brandon W. Forbes,"Music,Philosophy,Nonfiction,Writing,Essays",288,3.72,Radiohead and Philosophy: Fitter Happier More Deductive,2009
Robert M. Sapolsky,"Nonfiction,Science,Autobiography,Memoir,Animals,Cultural,Africa,Anthropology",304,4.35,A Primate's Memoir,2002
Jason DeParle,"Nonfiction,Politics,Social Issues,Poverty,Sociology,Social Movements,Social Justice,History,Economics",422,4.06,"American Dream: Three Women, Ten Kids, and a Nation's Drive to End Welfare",2005
Robert D. Kaplan,"War,Military Fiction,History,Nonfiction,Military,Military History,War,Travel,Politics",448,3.96,Imperial Grunts: The American Military on the Ground,2005
Marian Keyes,"Womens Fiction,Chick Lit,Fiction,Romance",464,3.92,Anybody Out There?,2007
N.K. Jemisin,"Fantasy,Fiction,Romance,Fantasy,High Fantasy,Fantasy,Magic",384,4.08,The Broken Kingdoms,2010
Jonathan Lethem,"Writing,Essays,Nonfiction,Language,Writing,Criticism,Art,Music,Writing,Books About Books",464,3.63,"The Ecstasy of Influence: Nonfictions, Etc.",2011
Angie Sage,"Fantasy,Young Adult,Fantasy,Magic,Fiction",641,4.24,Darke,2011
Lynsay Sands,"Romance,Historical Romance,Romance,Historical,Historical,Historical Fiction,Historical,Regency",371,3.91,The Reluctant Reformer,2002
Demi Lovato,"Nonfiction,Self Help",365,4.02,Staying Strong: 365 Days a Year,2013
Meshelle Goines,,91,5,"The Last Days of History “Apostasy The Great Falling Away""",2012
Simone Lenaerts,,254,3.46,Spinnenverdriet,2009
Louis Sachar,"Young Adult,Contemporary,Realistic Fiction,Young Adult,Teen,Fiction",336,3.81,"The Cardturner: A Novel about a King, a Queen, and a Joker",2010
Cassandra Clare,"Fantasy,Young Adult,Short Stories,Fantasy,Paranormal",65,3.74,What Really Happened in Peru,2013
Vanessa Garden,"Fantasy,Young Adult,Romance,Mythology,Mermaids,Fantasy,Paranormal",294,3.81,Captivate,2014
Jane Costello,"Womens Fiction,Chick Lit,Romance,Contemporary,Fiction",419,3.8,Bridesmaids,2008
Manda Scott,"Historical,Historical Fiction,Historical,Fiction,Fantasy",528,4.26,Dreaming the Bull,2005
Rebecca Pawel,"Mystery,Historical,Historical Fiction,Fiction,Cultural,Spain,Mystery,Crime,Historical",280,3.79,Death of a Nationalist,2004
Brian Greene,"Science,Nonfiction,Science,Physics,Science,Astronomy",569,4.11,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",2004
Emma Donoghue,"Historical,Historical Fiction,Fiction,Mystery,Historical,Audiobook",416,3.15,Frog Music,2014
M.T. Anderson,"Historical,Historical Fiction,Young Adult,Fiction,Historical,Young Adult,Teen",351,3.5,The Pox Party,2006
Anil Ananthaswamy,"Science,Science,Physics,Nonfiction,Science,Astronomy,Space",322,4.01,The Edge of Physics: A Journey to Earth's Extremes to Unlock the Secrets of the Universe,2010
Kristin Hannah,"Fiction,Womens Fiction,Chick Lit,Romance,Contemporary,Audiobook,War,Adult,Drama,Adult Fiction,Womens Fiction",390,4.12,Home Front,2012
Camilla Läckberg,"Mystery,Mystery,Crime,Fiction,Thriller,European Literature,Scandinavian Literature",419,3.78,The Preacher,2011
Luke Young,"Romance,Adult Fiction,Erotica,Contemporary,Romance,Contemporary Romance,Womens Fiction,Chick Lit",217,3.37,Friends With Partial Benefits,2011
James Patrick Kelly,"Science Fiction,Short Stories,Anthologies,Fiction",380,3.75,The Secret History of Science Fiction,2009
Paul Vallely,"Nonfiction,Religion,Biography,Spirituality",227,4.05,Pope Francis: Untying the Knots,2013
Tina Chang,"Poetry,Anthologies,Cultural,Asia,Literature,Asian Literature,Literature,Earth,The World,Female Authors",784,4.32,"Language for a New Century: Contemporary Poetry from the Middle East, Asia, and Beyond",2008
C.S. Woolley,,34,4.33,Filling the Afterlife from the Underworld: Volume 1,2013
Alex Archer,"Fantasy,Fantasy,Urban Fantasy,Fiction,Adventure,Action",348,3.66,The Soul Stealer,2008
Tilly Bagshawe,"Fiction,Mystery,Thriller",393,3.84,Sidney Sheldon's The Tides of Memory,2013
Dorothy Koomson,"Fiction,Womens Fiction,Chick Lit,Romance,Mystery,Contemporary",663,4.02,The Rose Petal Beach,2013
Christopher Reich,"Fiction,Thriller,Mystery,Suspense,Spy Thriller,Espionage",465,3.7,The Devil's Banker,2004
Philip Whiteman,"Aviation,History,Reference,Nonfiction",320,4.29,The Aircraft Book: The Definitive Visual History,2013
Ruth Ozeki,"Fiction,Food and Drink,Food,Contemporary,Audiobook,Novels",432,3.78,All Over Creation,2004
Jill Nelson,"Fiction,Novels",318,3.66,Sexual Healing,2003
Robert  Whitaker,"Nonfiction,History,Travel,Biography,Adventure,Science",368,3.59,The Mapmaker's Wife,2005
Kirstin Downey,"Biography,History,Nonfiction,Politics,North American Hi...,American History",458,4.17,"The Woman Behind the New Deal: The Life of Frances Perkins, FDR'S Secretary of Labor and His Moral Conscience",2009
Z.Z. Packer,"Short Stories,Fiction,Cultural,African American",265,3.84,Drinking Coffee Elsewhere,2004
Stephen Koch,"History,Biography,Nonfiction,Cultural,Spain,Literature",320,3.87,"The Breaking Point: Hemingway, Dos Passos, and the Murder of José Robles",2006
